tic,conm,fyear,sale,cogs,ni,at,sich
AR,ANTERO RESOURCES CORP,2020,3491.699,3205.882,-1267.897,13150.845,1311
ALVOF,ALVOPETRO ENERGY LTD,2020,10.568,2.938,5.706,80.388,1311
PHX,PHX MINERALS INC,2020,24.968,40.58,-23.952,100.022,1311
FECOF,FEC RESOURCES INC,2020,0.0,0.0,-0.187,2.379,1311
CTRA,COTERRA ENERGY INC,2020,1466.624,658.885,200.529,4523.532,1311
DEN,DENBURY INC,2020,737.596,1480.73,-1483.236,1634.758,1311
PTVRF,PETRO-VICTORY ENERGY CORP,2020,0.265,2.308,0.188,4.687,1311
CRC,CALIFORNIA RESOURCES CORP,2020,1559.0,2531.0,1766.0,3074.0,1311
HESM,HESS MIDSTREAM LP,2020,1091.9,337.4,24.0,3374.5,1311
MCF,CONTANGO OIL & GAS CO,2020,112.92,237.247,-165.342,170.267,1311
VEI,VINE ENERGY INC,2020,378.675,140.301,-252.194,1467.763,1311
PARR,PAR PACIFIC HOLDINGS INC,2020,3124.87,3230.17,-409.086,2133.861,2911
ESTE,EARTHSTONE ENERGY INC,2020,144.523,63.794,-13.547,1005.257,1311
RSRV,RESERVE PETROLEUM CO,2020,4.082,1.878,-1.956,32.148,1311
BSM,BLACK STONE MINERALS LP,2020,342.751,108.526,121.819,1243.978,1311
AMNI,AMERICAN NOBLE GAS INC,2020,0.0,0.0,5.624,0.086,1311
JADSF,JADESTONE ENERGY PLC,2020,217.938,155.793,-60.178,609.714,1311
AXAS,ABRAXAS PETROLEUM CORP/NV,2020,43.043,208.832,-184.522,157.761,1311
SPND,SPINDLETOP OIL & GAS CO,2020,3.56,2.182,-0.894,22.67,1311
TTE,TOTALENERGIES SE,2020,119704.0,112384.0,-7242.0,266132.0,2911
PPL5,KENTUCKY UTILITIES CO,2020,1690.0,891.0,280.0,9072.0,4911
SM,SM ENERGY CO,2020,1126.582,1372.705,-764.614,4976.431,1311
EP,EMPIRE PETROLEUM CORP,2020,7.728,13.889,-16.835,11.25,1311
GPOR,GULFPORT ENERGY CORP,2020,866.542,1896.161,-1625.133,2539.871,1311
PR,PERMIAN RESOURCES CORP,2020,580.456,811.808,-682.837,3827.425,1311
NRIS,NORRIS INDUSTRIES INC,2020,0.28,0.748,-1.11,0.414,1311
ROII,RISKON INTERNATIONAL INC,2020,15.563,14.727,-20.888,36.591,1311
EGY,VAALCO ENERGY INC,2020,67.176,66.34,-48.181,141.232,1311
TRLM,TRULEUM INC,2020,0.001,1.002,-1.987,0.1,1311
XOG,EXTRACTION OIL & GAS INC,2020,557.904,457.824,-1273.694,2025.199,1311
EXE,EXPAND ENERGY CORP,2020,5210.0,12028.0,-9734.0,6584.0,1311
SHASF,SHAMARAN PETROLEUM CORP,2020,56.673,75.325,-144.425,243.373,1311
YPF,YACIMIENTOS PETE FISCALES SA,2020,8220.214,5383.038,-855.561,23624.704,2911
SHIIY,SINOPEC SHANGHAI PETROCHEM,2020,9390.066,9142.581,98.158,6789.494,2911
ROYL,ROYALE ENERGY INC,2020,1.588,1.398,-8.148,8.425,1311
ENIAY,ENEL AMERICAS SA,2020,12192.674,9039.088,825.197,26933.558,4911
LNG,CHENIERE ENERGY INC,2020,9358.0,5418.0,-85.0,35697.0,1311
DWOG,DEEP WELL OIL & GAS INC,2020,0.0,0.0,-0.103,22.769,1311
KRP,KIMBELL ROYALTY PARTNERS LP,2020,90.482,293.227,-159.449,564.634,1311
PBEGF,TOUCHSTONE EXPLORATION INC,2020,14.104,17.623,-11.03,104.552,1311
TELL,TELLURIAN INC,2020,37.434,125.78,-210.696,292.995,1311
HNPIY,HUANENG POWER INTERNATIONAL,2020,25510.908,20223.222,361.827,68459.985,4911
TGS,TRANSPORTADORA DE GAS DEL SU,2020,686.314,320.058,40.365,1579.636,1311
KEP,KEPCO-KOREA ELEC POWER CORP,2020,52283.86,38760.421,1797.39,183356.069,4911
IPCFF,INTERNATIONAL PETROLEUM,2020,324.164,277.771,-77.854,1333.12,1311
MGY,MAGNOLIA OIL & GAS CORP,2020,534.506,1520.345,-1208.39,1453.42,1311
UCM1,COMMONWEALTH EDISON CO,2020,5904.0,3602.0,438.0,34466.0,4911
CRK,COMSTOCK RESOURCES INC,2020,858.195,246.001,-52.417,4623.983,1311
STR,SITIO ROYALTIES CORP,2020,38.881,4.8,7.7,275.629,1311
